Animal_Age_Group,Animal_Gender,ZMusic_Usage_Period,Z_Device,ZMusic_Plan,ZPremium_Willingness,Preferred_ZPremium,Preferred_ZContent,Fav_ZMusic_Genre,ZMusic_Time_Slot,Z_Mental_Health_Mood,ZMusic_Listening_Frequency,ZMusic_Discovery_Method,ZMusic_Recommendation_Rating,ZPodcast_Listening_Frequency,Fav_ZPodcast_Genre,Preferred_ZPodcast_Format,ZPodcast_Host_Preference,Preferred_ZPodcast_Duration,Z_Life_Satisfaction
20-35,Female,More than 2 years,Smart speakers or voice assistants,Free (ad-supported),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,leisure time,Playlists,3.0,Daily,Comedy,Interview,Both,Both,Ok
12-20,Male,More than 2 years,,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Social gatherings or parties,Workout session,Playlists,2.0,Several times a week,Comedy,Interview,Both,None,Satisfied
35-60,Others,6 months to 1 year,Smart speakers or voice assistants,Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Pop,Night,Relaxation and stress relief,"Study Hours, While Traveling",Playlists,4.0,Once a week,Sports,Interview,None,Both,Satisfied
20-35,Female,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","Office hours, Workout session, leisure time","recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Female,,Smartphone,Free (ad-supported),No,None,Music,Melody,,Relaxation and stress relief,leisure time,"recommendations, Playlists",4.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,Workout session,Others,3.0,,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,recommendations,3.0,Never,None,None,None,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social gatherings or parties,leisure time,recommendations,5.0,Several times a week,Lifestyle and Health,Conversational,Both,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time","Playlists, Radio",4.0,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Afternoon,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",Playlists,3.0,Several times a week,Lifestyle and Health,Story telling,Both,Both,Satisfied
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,,"While Traveling, leisure time","recommendations, Playlists",3.0,Several times a week,Comedy,Interview,Both,Shorter,Ok
20-35,Female,1 year to 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,Office hours,Playlists,3.0,Rarely,Lifestyle and Health,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling","recommendations, Others",1.0,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Morning,Relaxation and stress relief,,"recommendations, Playlists",5.0,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Afternoon,"Relaxation and stress relief, Uplifting and motivational","Office hours, While Traveling, leisure time",Others,2.0,,None,None,None,None,Very Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",1.0,Daily,Comedy,Educational,Well known individuals,Longer,Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Social gatherings or parties,Social gatherings ,recommendations,4.0,Never,None,,None,None,Ok
20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3.0,Never,None,None,None,None,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,"While Traveling, leisure time",recommendations,4.0,Never,None,None,None,Shorter,Ok
20-35,Female,1 year to 2 years,Smartphone,,No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",4.0,Never,None,None,None,None,Ok
20-35,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,,"Classical & melody, dance",Morning,Relaxation and stress relief,Office hours,recommendations,5.0,Never,None,None,,None,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,4.0,Once a week,Comedy,Story telling,Well known individuals,Shorter,Satisfied
20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,classical,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",1.0,Rarely,Comedy,Interview,Both,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Family Plan-Rs 179/month,Music,Rock,Night,"Relaxation and stress relief, Sadness or melancholy",Study Hours,"recommendations, Radio",3.0,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok
20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session, leisure time",Others,4.0,Never,None,None,None,None,Ok
12-20,Male,6 months to 1 year,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Student Plan-Rs 59/month,Podcast,,Morning,Relaxation and stress relief,"Office hours, While Traveling, Workout session",recommendations,4.0,Several times a week,Lifestyle and Health,Story telling,Both,Longer,Satisfied
35-60,Male,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Old songs,Night,Relaxation and stress relief,leisure time,recommendations,1.0,Never,None,None,None,None,Very Dissatisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"Office hours, While Traveling",recommendations,4.0,Never,None,None,None,None,Ok
20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",recommendations,3.0,Daily,Comedy,Conversational,Both,Longer,Satisfied
20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,While Traveling,Playlists,4.0,Rarely,Lifestyle and Health,Conversational,Well known individuals,Longer,Satisfied
20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,Office hours,Playlists,5.0,Rarely,Comedy,Interview,Well known individuals,Both,Satisfied
12-20,Male,More than 2 years,,Free (ad-supported),No,None,Music,Pop,Night,Uplifting and motivational,Workout session,"recommendations, Playlists",3.0,Never,None,None,,None,Ok
,Male,More than 2 years,Smartphone,Free (ad-supported),Yes,None,Music,Pop,Night,Relaxation and stress relief,While Traveling,recommendations,3.0,Rarely,Comedy,Conversational,Both,Both,Ok
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Playlists,4.0,Rarely,Comedy,Story telling,Well known individuals,Shorter,Ok
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Rap,Night,Uplifting and motivational,Workout session,Others,,Never,None,None,None,None,Ok
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Morning,Uplifting and motivational,"Office hours, While Traveling, leisure time","recommendations, Playlists, Radio",3.0,Several times a week,Business,Story telling,Both,Shorter,
20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",3.0,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4.0,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
12-20,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,None,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, leisure time",Playlists,3.0,Rarely,None,Interview,Both,Shorter,Ok
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Others",4.0,Rarely,Comedy,None,Both,Shorter,Ok
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Music,Pop,Night,Relaxation and stress relief,"While Traveling, Workout session",Playlists,3.0,Rarely,None,Conversational,Both,Both,Ok
12-20,Female,More than 2 years,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Pop,Night,Uplifting and motivational,"Study Hours, Workout session, leisure time","recommendations, Playlists",4.0,Once a week,Comedy,Conversational,,Longer,Very Satisfied
12-20,Male,1 year to 2 years,,Free (ad-supported),No,None,Music,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Others",5.0,Daily,Health and Fitness,Interview,Well known individuals,Longer,Very Satisfied
20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,None,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, While Traveling, ","recommendations, Playlists",5.0,Once a week,Comedy,Story telling,None,Both,Satisfied
20-35,Male,1 year to 2 years,,Free (ad-supported),No,None,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",Playlists,5.0,Never,None,,None,None,Ok
12-20,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,None,Podcast,classical,Afternoon,Sadness or melancholy,"While Traveling, Workout session",Others,3.0,Once a week,Lifestyle and Health,Conversational,Both,Both,Ok
35-60,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),Yes,Student Plan-Rs 59/month,Podcast,Melody,Morning,Sadness or melancholy,"While Traveling, Workout session, leisure time","recommendations, Playlists",4.0,Once a week,Food and cooking,Interview,Both,Shorter,Satisfied
20-35,Female,Less than 6 months,"Smartphone, Wearable devices",Free (ad-supported),No,None,Music,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",3.0,Once a week,,None,Well known individuals,Shorter,Ok
20-35,Male,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,4.0,Rarely,Comedy,Story telling,unknown Podcasters,Shorter,Very Satisfied
20-35,Male,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,None,Music,,Night,Relaxation and stress relief,"While Traveling, leisure time","Playlists, Radio",3.0,Daily,Health and Fitness,Educational,Both,Shorter,Dissatisfied
