temperature,tourists,price,promotion,rain,weekend,festival,sales
37,233,25,0,0,1,0,253
26,113,25,0,1,0,0,48
36,143,30,0,0,1,0,154
26,131,30,0,0,0,0,100
30,99,30,1,0,0,0,128
25,89,30,0,0,0,0,83
27,79,25,1,0,0,0,94
34,61,20,0,0,0,0,116
35,193,25,1,0,1,0,242
33,141,20,0,0,0,0,151
30,223,20,0,1,1,1,218
25,137,20,1,0,0,0,177
24,85,20,0,0,1,0,126
25,157,25,0,1,0,0,69
33,177,30,1,0,0,0,192
24,141,30,0,1,1,0,108
24,204,30,1,0,0,0,175
33,218,25,1,0,1,0,229
27,72,30,0,0,1,0,79
37,150,20,1,0,0,0,201
28,152,25,1,0,0,0,161
24,98,20,0,0,1,0,141
24,67,25,1,0,1,0,135
28,166,25,1,0,1,0,238
25,225,30,1,0,0,1,280
31,74,25,0,1,0,0,32
27,173,25,0,0,0,0,154
26,188,30,1,0,0,1,231
28,190,25,0,0,0,0,160
31,97,25,0,0,0,0,114
26,122,30,0,0,0,0,93
28,74,20,0,0,0,0,106
32,121,30,0,1,0,0,91
37,141,30,0,0,0,0,145
24,97,25,1,0,1,0,173
31,282,25,0,0,1,0,285
33,66,20,0,1,1,1,155
27,131,30,1,0,0,0,155
36,301,20,1,0,1,0,320
36,284,25,0,0,1,1,317
28,111,20,0,0,0,0,125
30,319,25,0,0,0,0,233
25,188,30,0,0,1,0,146
29,164,30,1,0,0,0,168
30,186,30,1,0,0,0,190
35,186,25,0,0,0,0,161
26,154,30,0,1,0,0,81
25,225,25,0,0,0,0,152
36,173,25,0,0,0,0,154
32,112,25,0,0,1,0,124
27,318,20,0,1,0,1,233
34,284,25,0,0,1,0,238
29,74,20,1,0,0,0,143
24,62,30,1,0,0,0,118
35,298,25,0,0,0,0,260
26,220,30,1,1,0,0,175
34,319,20,0,0,0,0,252
34,283,20,0,0,0,0,262
30,293,20,1,0,1,0,291
37,279,25,1,0,0,0,260
26,307,25,1,0,0,0,249
28,166,25,1,0,1,0,221
35,279,30,0,0,0,0,196
35,171,30,1,0,0,0,216
37,81,25,0,0,1,0,122
36,218,25,1,0,0,0,239
28,247,25,0,0,1,0,201
30,130,25,1,0,0,1,231
37,284,25,0,0,0,0,219
27,137,25,0,0,0,0,124
34,249,25,1,0,1,1,318
24,308,25,0,0,1,0,206
30,276,20,0,0,1,1,278
28,283,20,0,1,0,0,147
31,87,25,1,0,0,1,200
35,76,25,0,0,1,0,168
30,195,20,1,0,0,0,226
31,315,30,1,0,0,0,261
25,251,25,1,0,1,0,249
35,288,25,0,1,0,0,196
34,149,25,0,1,0,0,136
29,271,25,0,0,0,0,211
31,173,25,1,0,1,0,229
33,244,25,0,0,0,0,202
26,316,20,1,0,0,0,263
28,149,30,0,0,0,0,139
32,125,30,0,0,0,0,133
25,88,20,0,0,1,0,106
36,68,25,1,0,0,0,123
26,80,30,0,0,1,0,102
25,308,30,0,0,1,0,217
25,155,25,1,0,0,0,155
27,170,25,0,1,1,1,149
36,295,20,0,0,1,0,278
29,99,20,1,0,1,0,164
33,235,20,1,1,0,0,228
24,185,30,0,0,0,0,112
32,264,25,0,0,0,0,215
35,283,25,0,0,0,0,209
25,92,25,1,0,0,0,129
30,293,20,1,0,0,0,259
27,136,25,0,0,0,0,112
27,63,20,0,0,0,0,93
35,251,25,0,1,0,0,164
29,257,25,0,0,0,0,203
33,278,25,0,0,0,0,237
31,291,20,1,0,0,0,268
33,217,25,0,0,0,0,182
26,261,25,1,0,0,1,301
27,239,25,1,1,0,0,177
35,303,25,1,0,0,0,267
27,109,20,0,0,0,0,125
27,68,20,0,0,1,0,124
32,293,25,0,0,0,0,209
30,294,20,0,0,1,1,307
33,174,30,1,0,0,0,200
31,131,25,1,0,1,0,222
30,165,25,1,0,0,0,172
27,131,25,1,0,1,0,198
33,141,20,0,0,0,0,124
30,208,25,0,0,1,0,199
36,200,30,1,0,1,0,293
30,298,30,0,1,0,0,169
35,121,25,0,0,1,0,184
30,267,25,1,0,0,0,250
25,186,30,0,0,0,0,98
37,268,30,0,0,1,0,245
34,318,25,0,0,1,0,274
27,240,20,0,0,0,1,238
28,319,25,0,0,0,0,225
27,239,25,1,0,0,0,232
25,265,25,1,0,0,0,217
37,259,30,1,0,0,0,280
24,89,30,0,1,1,1,136
29,84,25,0,1,0,0,51
32,98,20,0,0,0,0,129
37,267,25,0,0,0,0,193
30,212,25,0,0,0,0,182
35,92,30,0,0,1,0,134
32,175,25,0,0,1,1,255
33,171,30,0,0,0,0,162
37,239,25,1,0,1,0,278
25,261,20,1,0,0,0,207
24,173,20,0,0,0,0,146
27,132,25,1,0,0,0,162
37,60,25,0,0,1,0,120
25,285,25,0,0,0,0,209
27,90,25,0,0,0,0,81
28,83,25,1,0,0,0,145
31,78,20,1,0,0,0,177
37,120,25,1,0,0,1,280
30,171,20,0,1,1,0,159
36,183,25,1,1,1,0,199
25,79,25,0,0,1,0,95
28,176,20,0,0,1,0,174
36,213,25,1,0,0,0,218
27,186,30,0,0,0,0,120
36,66,20,0,0,1,0,148
27,131,25,1,0,0,0,162
31,153,25,1,0,1,0,214
30,70,25,0,1,0,0,48
32,308,25,0,0,0,0,239
30,131,25,0,1,0,0,86
37,234,30,0,1,1,0,181
36,251,20,0,0,0,0,215
36,102,25,0,0,0,0,127
28,294,25,0,0,0,0,224
28,75,25,0,0,0,0,66
31,178,20,1,0,1,0,205
24,319,25,1,0,0,0,273
24,109,25,0,1,1,0,64
33,93,25,0,0,0,0,118
32,313,25,1,0,0,0,270
32,291,30,1,0,0,0,269
28,123,20,0,1,0,1,168
34,86,25,0,0,0,0,100
34,313,25,0,0,1,0,283
37,203,25,0,0,0,0,165
37,294,20,0,0,0,0,260
