temperature,tourists,price,promotion,rain,weekend,festival,sales
37.0,233.0,25.0,0.0,0.0,1.0,0.0,
26.0,113.0,25.0,0.0,1.0,,0.0,48.0
36.0,143.0,,,0.0,1.0,0.0,154.0
26.0,131.0,30.0,,0.0,0.0,0.0,100.0
30.0,99.0,30.0,1.0,,0.0,0.0,128.0
25.0,89.0,30.0,0.0,0.0,0.0,0.0,83.0
,79.0,25.0,1.0,0.0,0.0,0.0,94.0
34.0,61.0,20.0,0.0,0.0,,0.0,116.0
35.0,193.0,25.0,1.0,0.0,1.0,0.0,242.0
33.0,141.0,20.0,0.0,0.0,,0.0,
30.0,223.0,20.0,0.0,1.0,1.0,1.0,218.0
,137.0,20.0,1.0,0.0,0.0,0.0,177.0
,85.0,20.0,0.0,0.0,1.0,0.0,126.0
25.0,157.0,25.0,0.0,1.0,0.0,,69.0
33.0,177.0,30.0,1.0,0.0,0.0,0.0,192.0
24.0,141.0,30.0,0.0,1.0,1.0,0.0,108.0
24.0,204.0,30.0,1.0,0.0,0.0,0.0,175.0
33.0,,25.0,1.0,0.0,1.0,0.0,229.0
27.0,72.0,30.0,0.0,0.0,1.0,0.0,79.0
37.0,150.0,20.0,1.0,0.0,0.0,0.0,201.0
28.0,152.0,25.0,1.0,0.0,0.0,0.0,161.0
24.0,98.0,20.0,0.0,0.0,1.0,0.0,141.0
24.0,67.0,25.0,1.0,0.0,1.0,0.0,135.0
28.0,166.0,25.0,1.0,,1.0,0.0,238.0
25.0,225.0,30.0,1.0,0.0,0.0,1.0,280.0
31.0,74.0,25.0,0.0,,0.0,0.0,32.0
27.0,173.0,25.0,0.0,0.0,0.0,0.0,154.0
26.0,188.0,30.0,1.0,0.0,0.0,1.0,231.0
28.0,,25.0,0.0,0.0,0.0,0.0,160.0
31.0,97.0,25.0,0.0,0.0,0.0,0.0,114.0
26.0,122.0,30.0,0.0,0.0,0.0,0.0,93.0
28.0,74.0,20.0,0.0,0.0,0.0,0.0,
32.0,121.0,30.0,0.0,,0.0,,91.0
37.0,141.0,30.0,0.0,0.0,0.0,0.0,145.0
24.0,97.0,25.0,1.0,,1.0,0.0,173.0
31.0,282.0,25.0,0.0,0.0,1.0,0.0,
33.0,66.0,20.0,0.0,1.0,1.0,1.0,
27.0,131.0,,1.0,0.0,0.0,0.0,155.0
,,20.0,1.0,0.0,1.0,0.0,320.0
36.0,284.0,25.0,0.0,0.0,1.0,1.0,317.0
28.0,111.0,20.0,0.0,0.0,0.0,0.0,125.0
30.0,319.0,25.0,0.0,0.0,0.0,0.0,233.0
,188.0,30.0,0.0,,1.0,0.0,146.0
29.0,164.0,30.0,1.0,0.0,0.0,0.0,168.0
30.0,186.0,30.0,1.0,0.0,0.0,0.0,190.0
35.0,186.0,25.0,0.0,0.0,0.0,0.0,161.0
26.0,154.0,30.0,0.0,1.0,0.0,0.0,81.0
25.0,225.0,25.0,0.0,0.0,0.0,0.0,
36.0,173.0,,0.0,0.0,0.0,0.0,154.0
32.0,,25.0,0.0,,,0.0,124.0
27.0,318.0,20.0,0.0,1.0,0.0,1.0,233.0
34.0,284.0,25.0,0.0,0.0,1.0,0.0,238.0
29.0,74.0,20.0,1.0,0.0,0.0,0.0,143.0
24.0,62.0,30.0,1.0,0.0,0.0,0.0,118.0
35.0,298.0,25.0,0.0,0.0,0.0,0.0,260.0
26.0,,,1.0,,0.0,,175.0
34.0,319.0,20.0,0.0,0.0,,0.0,252.0
34.0,,20.0,0.0,0.0,0.0,,262.0
30.0,293.0,20.0,1.0,0.0,1.0,0.0,291.0
37.0,279.0,25.0,1.0,0.0,,0.0,260.0
26.0,307.0,25.0,1.0,0.0,0.0,0.0,249.0
28.0,166.0,25.0,1.0,0.0,,0.0,221.0
35.0,279.0,30.0,0.0,0.0,0.0,0.0,196.0
35.0,,,1.0,0.0,0.0,0.0,216.0
37.0,81.0,25.0,0.0,0.0,1.0,0.0,122.0
36.0,218.0,25.0,1.0,0.0,0.0,0.0,
28.0,247.0,25.0,0.0,0.0,1.0,0.0,201.0
30.0,130.0,25.0,,0.0,0.0,,231.0
37.0,284.0,25.0,,0.0,0.0,0.0,
27.0,137.0,25.0,0.0,0.0,0.0,0.0,124.0
,249.0,25.0,1.0,0.0,1.0,1.0,318.0
24.0,308.0,25.0,0.0,0.0,1.0,0.0,206.0
30.0,276.0,20.0,0.0,0.0,1.0,1.0,278.0
28.0,283.0,20.0,0.0,,0.0,0.0,147.0
31.0,87.0,25.0,1.0,0.0,0.0,1.0,200.0
35.0,76.0,25.0,0.0,,1.0,0.0,168.0
30.0,195.0,20.0,1.0,0.0,0.0,0.0,226.0
31.0,315.0,30.0,1.0,0.0,0.0,0.0,261.0
25.0,251.0,25.0,1.0,0.0,,0.0,249.0
,,25.0,,1.0,0.0,0.0,196.0
34.0,,25.0,0.0,1.0,0.0,0.0,136.0
29.0,271.0,25.0,0.0,0.0,,0.0,
31.0,173.0,25.0,1.0,0.0,1.0,0.0,229.0
