OrderID,Customer_Species,District,Item_Ordered,Price_Z$:,Delivery_Time_Mins,Driver_Shoe_Size,Rating_Score,Status
Z001,Elephant,Sahara Square,Jumbo Ice Cream,45.0,20.0,40,5.0,Completed
Z002,Mouse,Little Rodentia,Mini Cheese,5.0,15.0,38,4.0,Completed
Z003,Sloth,Downtown,Coffee,15.0,999.0,42,,Cancelled
Z004,Lion,Downtown,Steak,120.0,30.0,45,5.0,Completed
Z005,Rabbit,Bunnyburrow,Carrot Cake,12.0,45.0,39,3.0,Completed
Z006,Wolf,Tundratown,Howling Ribs,85.0,-10.0,41,2.0,Completed
Z007,Cheetah,Sahara Square,Energy Drink,20.0,12.0,40,5.0,Completed
Z008,Giraffe,Sahara Square,Acacia Salad,,25.0,44,4.0,
Z009,Polar Bear,Tundratown,Ice Fish,55.0,,46,,Completed
Z010,Sloth,Downtown,Coffee,15.0,999.0,42,1.0,Completed
